,loc_pred,gt_error_loc,sample_id
0,0,103,0
1,35,14,1
2,0,90,2
3,0,92,4
4,0,158,5
5,0,120,7
6,0,209,8
7,0,27,9
8,0,155,10
9,0,113,11
10,0,86,12
11,0,280,13
12,0,32,14
13,0,23,15
14,0,71,16
15,0,42,17
16,0,289,18
17,0,40,19
18,0,127,20
19,44,36,21
20,0,102,22
21,0,17,23
22,0,90,24
23,0,71,25
24,0,46,26
25,91,111,27
26,0,54,28
27,0,153,29
28,0,64,30
29,0,35,32
30,0,43,33
31,0,119,34
32,0,221,35
33,0,213,36
34,49,49,37
35,134,134,38
36,0,165,39
37,0,31,40
38,72,72,41
39,0,242,42
40,0,136,43
41,0,19,44
42,0,58,45
43,136,97,46
44,0,72,47
45,60,60,48
46,98,98,49
47,0,14,50
48,0,206,51
49,0,59,52
50,0,137,53
51,0,201,54
52,56,45,55
53,0,218,56
54,0,71,57
55,0,230,58
56,0,96,59
57,0,278,60
58,0,130,61
59,0,172,62
60,0,77,63
61,136,133,64
62,0,17,65
63,0,100,66
64,0,191,67
65,0,61,68
66,78,84,69
67,46,50,70
68,43,43,71
69,0,220,72
70,0,85,73
71,0,143,74
72,0,139,75
73,51,51,76
74,0,27,77
75,0,279,78
76,0,189,79
77,0,52,81
78,0,115,82
79,0,55,83
80,0,195,84
81,0,256,85
82,0,134,86
83,0,102,87
84,0,85,88
85,0,76,89
86,0,47,90
87,0,173,92
88,0,39,93
89,211,79,94
90,0,114,95
91,0,159,96
92,0,88,97
93,0,17,98
94,80,25,99
95,0,302,100
96,0,53,101
97,59,41,102
98,0,98,103
99,0,26,104
100,28,28,105
101,0,43,106
102,0,30,107
103,0,191,108
104,0,36,109
105,0,28,110
106,0,184,111
107,81,81,112
108,0,121,113
109,0,145,114
110,66,87,115
111,0,108,116
112,0,166,117
113,0,59,118
114,0,83,120
115,0,155,121
116,0,89,122
117,0,89,123
118,0,112,124
119,0,108,125
120,0,210,126
121,0,124,127
122,0,214,128
123,0,173,129
124,0,20,130
125,159,83,131
126,0,193,132
127,0,159,133
128,0,169,134
129,0,107,135
130,0,54,136
131,0,197,137
132,0,85,138
133,0,112,139
134,0,231,140
135,0,82,141
136,44,44,142
137,0,153,143
138,0,119,144
139,0,127,145
140,0,109,146
141,0,182,147
142,52,52,148
143,0,181,149
144,0,107,150
145,0,100,151
146,22,22,152
147,0,121,153
148,0,143,154
149,0,70,155
150,0,252,156
151,0,19,157
152,0,107,158
153,0,191,159
154,0,86,160
155,0,23,162
156,0,90,163
157,0,93,164
158,0,85,165
159,0,91,166
160,0,33,167
161,0,133,168
162,0,44,169
163,0,56,170
164,0,122,171
165,0,52,172
166,0,11,173
167,0,19,174
168,86,79,175
169,0,67,176
170,0,60,177
171,0,46,178
172,0,99,179
173,0,59,180
174,0,145,181
175,0,79,182
176,0,67,183
177,0,20,184
178,0,105,185
179,0,78,186
180,105,105,187
181,0,87,188
182,0,96,189
183,0,242,190
184,0,148,192
185,0,36,193
186,0,225,194
187,0,97,195
188,0,151,196
189,0,90,197
190,0,100,198
191,281,281,199
192,0,129,200
193,0,59,201
194,0,29,202
195,31,31,203
196,0,107,204
197,43,35,205
198,0,41,206
199,0,188,207
200,0,143,208
201,53,139,209
202,39,108,210
203,0,114,211
204,0,47,212
205,0,75,213
206,46,237,214
207,0,73,215
208,0,67,216
209,0,29,217
210,0,273,218
211,0,263,219
212,0,71,220
213,0,80,221
214,0,269,222
215,0,121,223
216,0,142,224
217,0,37,225
218,0,94,226
219,0,137,227
220,127,106,228
221,0,74,229
222,45,45,230
223,0,59,231
224,0,109,232
225,0,32,233
226,29,29,234
227,0,95,235
228,0,101,236
229,0,140,237
230,0,119,238
231,105,116,239
232,55,55,240
233,0,117,241
234,0,180,242
235,0,143,243
236,0,157,244
237,0,113,245
238,0,72,246
239,0,40,247
240,0,203,248
241,0,154,249
242,0,126,250
243,0,141,251
244,0,71,252
245,0,63,255
246,0,61,256
247,0,362,257
248,0,183,258
249,0,48,259
250,0,51,260
251,89,89,261
252,144,113,262
253,0,77,263
254,0,120,264
255,89,48,265
256,177,170,266
257,66,71,267
258,0,254,268
