type_check_failed,error_msgs
False,
False,
True,"File ""dummpy_input_file"", line 45, in packageInfo: Name 'metadataFile' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 23, in command_main: Name 'second_buffer_number' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 17, in gather_candidates: Name 'prefix' is not defined [name-error]"
False,
True,"File ""dummpy_input_file"", line 11, in _get_files: No attribute 'subject' on Dict[nothing, nothing] [attribute-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 31, in import_files: Name 'loghandler' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 25, in create_containers: Name 'ports' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 11, in load_hosts: unsupported operand type(s) for 'in': 'ip: None' and '':': str' [unsupported-operands]"
False,
False,
False,
True,"File ""dummpy_input_file"", line 20, in appstore: Name 'results' is not defined [name-error]"
False,
True,"File ""dummpy_input_file"", line 19, in save_report: Name 'group' is not defined [name-error]"
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 32, in get_payload: No attribute 'get_fixtures' on Type[generator] [attribute-error]"
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 50, in shell: No attribute 'func' on list [attribute-error]"
False,
True,"File ""dummpy_input_file"", line 13, in query_simple_group: Name 'rel_model' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 10, in run_all_tests: Name 'apps' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 19, in handle_html: Name 'value' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 42, in apply_subrs: Name 'fd' is not defined [name-error]"
False,
False,
True,"File ""dummpy_input_file"", line 17, in get_browser_versions: Built-in function len was called with the wrong arguments [wrong-arg-types]"
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 9, in send_packet: Name 'data' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 16, in lookup_providers: Name 'driver' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 31, in parse_args: Function traceback.format_exc was called with the wrong arguments [wrong-arg-types]"
False,
False,
False,
True,"File ""dummpy_input_file"", line 21, in chgroups: Function str.join was called with the wrong arguments [wrong-arg-types]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 26, in prepare_publication_date: No attribute 'groups' on None [attribute-error]"
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 22, in load_public_key: Name 'public_key' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 33, in load_public_key: Name 'public_key' is not defined [name-error]"
False,
True,"File ""dummpy_input_file"", line 20, in datasets: No attribute 'append' on Dict[str, Any] [attribute-error]"
False,
False,
False,
False,
False,
False,
False,"invalid syntax (<unknown>, line 6)"
False,
False,
False,
