,loc_pred,gt_error_loc
0,0,0
1,0,117
2,37,37
3,0,0
4,0,0
5,0,88
6,0,0
7,0,136
8,0,166
9,57,42
10,0,103
11,185,120
12,0,232
13,79,79
14,166,63
15,82,82
16,0,0
17,0,50
18,0,114
19,65,46
20,191,191
21,0,106
22,84,84
23,46,46
24,103,103
25,0,72
26,0,116
27,0,209
28,0,90
29,91,91
30,25,25
31,86,58
32,0,114
33,0,64
34,0,134
35,0,112
36,0,0
37,0,84
38,0,129
39,0,248
40,0,0
41,164,164
42,0,17
43,0,31
44,77,77
45,0,0
46,0,191
47,0,0
48,107,107
49,0,0
50,0,162
51,0,179
52,0,106
53,0,0
54,44,44
55,0,69
56,0,104
57,0,84
58,0,142
59,0,59
60,0,51
61,81,81
62,188,176
63,0,0
64,0,161
65,38,38
66,59,59
67,0,63
68,140,140
69,0,147
70,0,39
71,51,77
72,49,49
73,0,0
74,0,111
75,0,0
76,220,177
77,0,193
78,0,172
79,0,47
80,47,47
81,0,100
82,0,178
83,108,108
84,104,104
85,0,89
86,53,53
87,0,121
88,0,178
89,0,200
90,0,0
91,0,78
92,0,97
93,95,95
94,0,78
95,0,164
96,0,135
97,54,54
98,67,91
99,0,43
100,0,40
101,58,58
102,0,168
103,153,153
104,0,0
105,0,99
106,102,102
107,0,90
108,0,86
109,0,0
110,0,0
111,0,115
112,0,91
113,0,63
114,120,120
115,0,0
116,32,32
117,0,28
118,74,74
119,0,163
120,0,78
121,24,24
122,0,0
123,0,0
124,0,75
125,0,81
126,0,0
127,161,161
128,0,194
129,43,43
130,27,27
131,44,50
132,0,110
133,0,99
134,0,0
135,35,35
136,0,152
137,0,0
138,0,128
139,0,0
140,0,139
141,0,0
142,0,169
143,39,133
144,179,179
145,0,161
146,0,78
147,130,130
148,0,164
149,0,0
150,0,94
151,0,85
152,0,71
153,39,39
154,0,0
155,0,138
156,0,58
157,0,237
158,67,67
159,0,138
160,0,25
161,0,0
162,0,0
163,0,0
164,0,0
165,63,63
166,0,128
167,114,114
168,0,0
169,0,0
170,0,0
171,0,102
172,43,43
173,67,67
174,18,18
175,29,0
176,0,84
177,0,128
178,79,79
179,0,104
180,0,145
181,0,0
182,0,155
183,111,111
184,0,0
185,0,232
186,130,130
187,0,192
188,241,81
189,0,105
190,0,211
191,0,195
192,119,119
193,0,0
194,0,0
195,0,225
196,39,39
197,0,41
198,0,41
199,0,65
200,0,185
201,0,46
202,0,160
203,0,0
204,0,50
205,82,82
206,0,0
207,0,234
208,150,0
209,0,142
210,0,177
211,0,0
212,0,44
213,127,127
214,0,149
215,0,74
216,110,110
217,65,65
218,0,0
219,0,51
220,165,165
221,0,0
222,0,0
223,0,41
224,0,0
225,0,235
226,0,0
227,163,0
228,54,33
229,28,28
230,0,239
231,165,165
232,0,80
233,0,43
234,0,27
235,0,0
236,0,162
237,0,179
238,0,60
239,0,123
240,0,79
241,0,0
242,89,89
243,197,224
244,197,197
245,0,173
246,0,243
247,0,0
248,0,0
249,0,0
250,0,114
251,0,66
252,0,0
253,0,82
254,59,59
255,0,0
256,0,184
257,0,47
258,43,43
259,0,79
260,0,129
261,33,33
262,26,26
263,0,0
264,119,119
265,0,174
266,0,59
267,0,53
268,0,149
269,123,123
270,0,62
271,80,80
272,80,80
273,0,92
274,0,0
275,0,0
276,0,0
277,0,58
278,0,206
279,66,0
280,80,80
281,110,110
282,0,54
283,0,131
284,0,0
285,0,91
286,0,282
287,0,138
288,55,55
289,35,35
290,48,48
291,0,0
292,0,107
293,0,177
294,56,70
295,107,107
296,0,94
297,66,55
298,0,102
299,0,120
300,0,0
301,0,136
302,53,183
303,0,0
304,0,132
305,0,87
306,25,25
307,0,47
308,53,84
309,83,83
310,0,0
311,0,0
312,0,49
313,0,79
314,0,104
315,0,102
316,0,168
317,0,84
318,0,86
319,76,76
320,142,142
321,0,66
322,137,137
323,0,0
324,0,0
325,0,39
326,0,0
327,0,0
328,0,51
329,0,105
330,83,83
331,28,28
332,57,57
333,0,86
334,61,61
335,0,0
336,0,0
337,0,0
338,59,59
339,0,0
340,0,220
341,52,176
342,0,118
343,0,0
344,0,0
345,0,0
346,0,164
347,0,164
348,0,0
349,175,175
350,0,0
351,123,123
352,109,189
353,45,45
354,64,53
355,0,0
356,0,134
357,0,87
358,259,259
359,105,0
360,0,173
361,0,39
362,114,114
363,0,0
364,0,0
365,0,79
366,85,118
367,0,0
368,0,52
369,127,0
370,127,127
371,82,82
372,51,51
373,0,0
374,0,103
375,125,136
376,0,0
377,63,63
378,0,207
379,0,0
380,63,63
381,0,0
382,67,67
383,0,74
384,0,99
385,0,120
386,0,64
387,0,0
388,0,50
389,80,102
390,0,92
391,57,57
392,0,104
393,90,90
394,0,223
395,0,79
396,0,118
397,0,0
398,0,0
399,0,93
400,0,130
401,14,14
402,0,0
403,0,68
404,0,91
405,0,44
406,0,232
407,79,90
408,0,57
409,0,58
410,0,108
411,0,115
412,0,165
413,0,181
414,0,230
415,142,142
416,0,191
417,74,74
418,66,66
419,0,143
420,0,136
421,0,113
422,0,0
423,47,47
424,0,152
425,0,0
426,97,113
427,0,86
