type_check_failed,error_msgs
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 4, in test_current_ref_with_no_valids: Name 'resp' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 9, in getent: Name 'grinfo' is not defined [name-error]"
False,
True,"File ""dummpy_input_file"", line 3, in _write_split_logs: Name 'keywords' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 8, in open: Name 'base' is not defined [name-error]
File ""dummpy_input_file"", line 8, in open: Missing parameter 'source_path' in call to function unsolveable.open [missing-parameter]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 3, in test_base_cmd1_parsing: Name 'res' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 4, in _to_location: Name 'location' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 5, in up: Name 'scale' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 8, in listdir: Function posixpath.join was called with the wrong arguments [wrong-arg-types]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 8, in __init__: Name 'bitwidth' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 5, in _logaddexp_scalar: Name 'diff' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 7, in nearIntegersPredicate: Name 'num' is not defined [name-error]"
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 4, in get_config: Name 'collector_client' is not defined [name-error]"
False,
False,
True,"File ""dummpy_input_file"", line 8, in _zero_pad: No attribute 'shape' on List[nothing] [attribute-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 4, in numwatchers: Name 'resp' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 4, in stopDB: Name 'conn' is not defined [name-error]"
False,
True,"File ""dummpy_input_file"", line 7, in get_email: Name 'expected_digest' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 14, in test_add_project_post_with_neutron: Name 'neutron_updated_quota' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 7, in __init__: Name '_find_template_loader' is not defined [name-error]"
False,
False,
True,"File ""dummpy_input_file"", line 7, in __str__: No attribute 'score' on str [attribute-error]"
False,
True,"File ""dummpy_input_file"", line 10, in _process_record: Name 'parent_start_pos' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 24, in get_log_client: Name 'new_client_tuple' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 6, in testPortWithProtocolTcp: Name 'x' is not defined [name-error]
File ""dummpy_input_file"", line 6, in testPortWithProtocolTcp: Missing parameter 'Loader' in call to function yaml.load [missing-parameter]"
False,
True,"File ""dummpy_input_file"", line 8, in test_node_states: No attribute 'api' on List[Tuple[str, str, Dict[nothing, nothing], None]] [attribute-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 5, in beautify: Name 'b' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 5, in ExecuteUntilFalse: Name 'interval' is not defined [name-error]"
False,
False,
True,"File ""dummpy_input_file"", line 10, in test_posting_claim_expiry: Name 'j' is not defined [name-error]"
False,
False,
True,"File ""dummpy_input_file"", line 4, in add_page: Name 'pw' is not defined [name-error]"
False,
True,"File ""dummpy_input_file"", line 26, in create_user_db: Name 'user_db' is not defined [name-error]"
False,
False,
False,
True,"File ""dummpy_input_file"", line 4, in _matches: Name 'is_alive' is not defined [name-error]"
False,
False,
False,
True,"File ""dummpy_input_file"", line 14, in preapprove_email_sender: Name 'email_body' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 4, in update: Name 'url' is not defined [name-error]"
False,
False,
False,
True,"File ""dummpy_input_file"", line 6, in mime: Name 'sender' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 20, in test_grad_inrange: Name 'f' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 7, in password_auth_enabled: Name 'backend' is not defined [name-error]"
False,
False,
True,"File ""dummpy_input_file"", line 4, in split_number_and_unit: Name 'pos' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 5, in write_file: Name 'file' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 5, in run_save_translation_missing: Name 'missing_translation' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 16, in port_update_event: Name 'vm' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 25, in test_rendering_nested_fields_with_none_value: Name 'expected_packed' is not defined [name-error]"
False,
False,
True,"File ""dummpy_input_file"", line 24, in get_completions: Name 'location' is not defined [name-error]"
True,"File ""dummpy_input_file"", line 10, in test_explain: Name 'response' is not defined [name-error]"
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 7, in cli: Name 'iscsi_id' is not defined [name-error]"
False,
False,
False,
True,"File ""dummpy_input_file"", line 4, in test_duplicate_instances: Name 'dupe' is not defined [name-error]"
False,
True,"File ""dummpy_input_file"", line 15, in block_until_complete: Name 'str_still_running' is not defined [name-error]"
False,
True,"File ""dummpy_input_file"", line 39, in sensor_fusion_test: Name 'std_dev' is not defined [name-error]"
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 10, in expand_against_command_args: Name 'original_end' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 10, in setUp: Name 's' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 12, in test_ordered_merge: Name 'ret' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 12, in get_max_size: Name 'height_diff' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 35, in shortest_path_length: Name 'p' is not defined [name-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 15, in location_search: No attribute 'point' on List[nothing] [attribute-error]"
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 6, in print_result_table: Name 'mod2' is not defined [name-error]"
False,
False,
False,
False,
True,"File ""dummpy_input_file"", line 7, in _Create: No attribute '_disk' on bool [attribute-error]"
False,
False,
False,
True,"File ""dummpy_input_file"", line 5, in enable_zabbix_alarms: Name 'zabbix_provider' is not defined [name-error]"
False,
