,loc_pred,gt_error_loc
0,26,26
1,0,0
2,72,72
3,0,0
4,0,0
5,13,13
6,0,0
7,21,21
8,0,0
9,0,0
10,22,22
11,0,0
12,14,14
13,0,0
14,12,12
15,0,0
16,26,26
17,0,0
18,28,28
19,0,0
20,12,12
21,0,0
22,18,18
23,0,0
24,22,22
25,0,0
26,22,22
27,0,0
28,43,43
29,0,0
30,0,0
31,18,18
32,0,0
33,22,22
34,0,0
35,17,17
36,0,0
37,20,20
38,0,0
39,20,20
40,0,0
41,18,18
42,0,0
43,18,18
44,0,0
45,23,23
46,0,0
47,26,26
48,20,0
49,18,18
50,0,0
51,12,12
52,0,0
53,18,18
54,0,0
55,18,18
56,0,0
57,18,18
58,0,0
59,22,22
60,0,0
61,12,12
62,0,0
63,26,26
64,0,0
65,37,37
66,0,0
67,46,46
68,0,0
69,15,15
70,0,0
71,12,12
72,0,0
73,24,24
74,0,0
75,26,26
76,0,0
77,24,24
78,0,0
79,20,20
80,0,0
81,20,20
82,0,0
83,18,18
84,0,0
85,22,22
86,0,0
87,18,18
88,0,0
89,31,31
90,0,0
91,21,21
92,0,0
93,0,0
94,0,0
95,0,0
96,12,12
97,0,0
98,18,18
99,0,0
100,15,15
101,0,0
102,22,22
103,0,0
104,26,26
105,0,0
106,24,24
107,0,0
108,16,16
109,0,0
110,26,26
111,0,0
112,12,12
113,0,0
114,14,14
115,0,0
116,21,21
117,0,0
118,20,20
119,0,0
120,46,46
121,0,0
122,0,9
123,0,0
124,17,17
125,0,0
126,27,27
127,0,0
128,26,26
129,0,0
130,27,27
131,0,0
132,30,30
133,0,0
134,26,26
135,0,0
136,30,30
137,0,0
138,24,24
139,0,0
140,27,27
141,0,0
142,70,70
143,0,0
144,9,9
145,0,0
146,77,77
147,0,0
148,67,67
149,0,0
150,77,77
151,0,0
152,0,15
153,0,0
154,71,67
155,0,0
156,14,14
157,0,0
158,13,13
159,0,0
160,15,15
161,0,0
162,144,144
163,0,0
164,0,11
165,0,0
166,0,11
167,0,0
168,0,11
169,0,0
170,0,11
171,0,0
172,0,11
173,0,0
174,0,11
175,0,0
176,0,11
177,0,0
178,0,17
179,17,0
180,0,17
181,0,0
182,0,11
183,0,0
184,0,17
185,17,0
186,31,31
187,0,0
188,15,15
189,0,0
190,13,13
191,0,0
192,39,39
193,0,0
194,20,20
195,0,0
196,22,22
197,0,0
198,49,49
199,0,0
200,25,25
201,0,0
202,0,56
203,0,0
204,22,22
205,0,0
206,0,0
207,9,9
208,0,0
209,18,18
210,0,0
211,18,18
212,0,0
213,53,53
214,0,0
215,33,33
216,0,0
217,18,18
218,0,0
219,21,21
220,0,0
221,14,14
222,0,0
223,26,26
224,0,0
225,26,26
226,0,0
227,24,24
228,0,0
229,28,28
230,0,0
231,24,24
232,0,0
233,84,84
234,0,0
235,20,20
