,loc_pred,gt_error_loc,sample_id
0,26,26,0
1,0,0,1
2,0,72,2
3,0,0,3
4,0,0,5
5,0,13,6
6,0,0,7
7,21,21,8
8,0,0,9
9,0,0,11
10,22,22,12
11,0,0,13
12,0,14,14
13,0,0,15
14,12,12,16
15,0,0,17
16,26,26,18
17,0,0,19
18,28,28,20
19,0,0,21
20,12,12,22
21,0,0,23
22,18,18,24
23,0,0,25
24,22,22,26
25,0,0,27
26,22,22,28
27,0,0,29
28,0,43,30
29,0,0,31
30,0,0,33
31,18,18,34
32,0,0,35
33,22,22,36
34,0,0,37
35,0,17,38
36,0,0,39
37,20,20,40
38,0,0,41
39,20,20,42
40,0,0,43
41,18,18,44
42,0,0,45
43,18,18,46
44,0,0,47
45,0,23,48
46,0,0,49
47,26,26,50
48,0,0,51
49,18,18,52
50,0,0,53
51,18,12,54
52,0,0,55
53,0,18,56
54,0,0,57
55,18,18,58
56,0,0,59
57,18,18,60
58,0,0,61
59,22,22,62
60,0,0,63
61,18,12,64
62,0,0,65
63,0,26,66
64,0,0,67
65,42,37,68
66,0,0,69
67,46,46,70
68,0,0,71
69,0,15,72
70,0,0,73
71,12,12,74
72,0,0,75
73,0,24,76
74,0,0,77
75,0,26,78
76,0,0,79
77,0,24,80
78,0,0,81
79,22,20,82
80,0,0,83
81,20,20,84
82,0,0,85
83,18,18,86
84,0,0,87
85,22,22,88
86,0,0,89
87,18,18,90
88,0,0,91
89,19,31,92
90,19,0,93
91,21,21,94
92,0,0,95
93,0,0,97
94,0,0,99
95,0,0,101
96,0,12,102
97,0,0,103
98,18,18,104
99,0,0,105
100,0,15,106
101,0,0,107
102,22,22,108
103,0,0,109
104,26,26,110
105,0,0,111
106,24,24,112
107,0,0,113
108,0,16,114
109,0,0,115
110,26,26,116
111,0,0,117
112,18,12,118
113,0,0,119
114,0,14,120
115,0,0,121
116,21,21,122
117,0,0,123
118,20,20,124
119,0,0,125
120,46,46,126
121,0,0,127
122,0,9,128
123,0,0,129
124,0,17,130
125,0,0,131
126,0,27,132
127,0,0,133
128,26,26,134
129,0,0,135
130,27,27,136
131,27,0,137
132,30,30,138
133,0,0,139
134,0,26,140
135,0,0,141
136,30,30,142
137,0,0,143
138,24,24,144
139,0,0,145
140,0,27,146
141,27,0,147
142,0,70,148
143,0,0,149
144,0,9,150
145,0,0,151
146,77,77,152
147,0,0,153
148,67,67,154
149,0,0,155
150,0,77,156
151,0,0,157
152,0,15,158
153,0,0,159
154,0,67,160
155,0,0,161
156,14,14,162
157,0,0,163
158,13,13,164
159,0,0,165
160,0,15,166
161,0,0,167
162,144,144,168
163,0,0,169
164,0,11,170
165,0,0,171
166,0,11,172
167,0,0,173
168,0,11,174
169,0,0,175
170,0,11,176
171,0,0,177
172,0,11,178
173,0,0,179
174,0,11,180
175,0,0,181
176,0,11,182
177,0,0,183
178,0,17,184
179,17,0,185
180,0,17,186
181,17,0,187
182,0,11,188
183,0,0,189
184,17,17,190
185,17,0,191
186,0,31,192
187,0,0,193
188,15,15,194
189,0,0,195
190,23,13,196
191,21,0,197
192,0,39,198
193,0,0,199
194,20,20,200
195,0,0,201
196,22,22,202
197,0,0,203
198,0,49,204
199,0,0,205
200,25,25,206
201,0,0,207
202,0,56,208
203,0,0,209
204,22,22,210
205,0,0,211
206,0,0,213
207,13,9,214
208,0,0,215
209,18,18,216
210,0,0,217
211,18,18,218
212,0,0,219
213,53,53,220
214,0,0,221
215,0,33,222
216,0,0,223
217,18,18,224
218,0,0,225
219,21,21,226
220,0,0,227
221,0,14,228
222,0,0,229
223,26,26,230
224,0,0,231
225,26,26,232
226,0,0,233
227,24,24,234
228,0,0,235
229,28,28,236
230,0,0,237
231,24,24,238
232,0,0,239
233,0,84,240
234,0,0,241
235,20,20,242
236,0,0,243
237,21,21,244
238,0,0,245
239,26,26,246
240,0,0,247
241,26,26,248
242,0,0,249
243,26,26,250
244,0,0,251
245,22,22,252
246,0,0,253
247,22,22,254
248,0,0,255
249,12,12,262
250,0,0,263
251,21,21,270
252,0,0,271
253,42,42,272
254,0,0,273
255,0,20,274
256,0,0,275
257,0,12,276
258,12,0,277
259,0,33,284
260,0,0,285
261,0,26,288
262,0,0,289
263,0,9,290
264,0,0,291
265,0,16,292
266,0,0,293
267,20,0,295
268,21,21,306
269,0,0,307
270,0,45,314
271,0,0,315
272,0,9,316
273,0,0,317
274,0,0,321
275,0,0,323
276,0,0,325
277,0,0,327
278,0,0,329
279,0,0,331
280,0,0,333
281,0,0,335
282,0,0,337
283,0,0,339
284,0,0,341
285,0,0,343
286,0,0,345
287,0,0,347
288,0,0,349
289,0,0,351
290,0,0,353
291,0,0,355
292,0,0,357
293,0,0,359
294,0,0,361
295,0,0,363
296,0,0,365
297,0,100,384
298,0,0,385
299,17,17,386
300,17,0,387
301,0,11,388
302,17,0,389
303,0,21,390
304,0,0,391
305,0,21,392
306,21,0,393
307,0,11,394
308,0,0,395
309,0,11,396
310,0,0,397
311,25,25,398
312,0,0,399
313,0,37,400
314,0,0,401
315,0,25,402
316,0,0,403
317,0,11,404
318,0,0,405
319,0,11,406
320,0,0,407
321,0,11,408
322,0,0,409
323,0,11,410
324,0,0,411
325,0,11,412
326,0,0,413
327,0,11,414
328,0,0,415
329,0,11,416
330,0,0,417
331,0,11,418
332,0,0,419
333,0,11,420
334,0,0,421
335,0,11,422
336,0,0,423
337,0,277,424
338,0,0,425
339,42,42,426
340,0,0,427
341,0,59,428
342,0,0,429
343,14,14,430
344,0,0,431
345,13,29,432
346,13,0,433
347,13,23,434
348,13,0,435
349,28,28,436
350,0,0,437
351,53,53,438
352,0,0,439
353,0,32,440
354,0,0,441
355,15,15,442
356,0,0,443
357,13,23,444
358,13,0,445
359,13,23,446
360,13,0,447
361,0,29,448
362,0,0,449
363,35,37,454
364,0,0,455
365,0,11,456
366,0,0,457
367,19,19,458
368,0,0,459
369,23,13,460
370,0,0,461
371,23,13,462
372,0,0,463
373,0,23,464
374,0,0,465
375,20,15,466
376,0,0,467
377,23,23,468
378,0,0,469
379,0,48,470
380,0,0,471
381,0,25,472
382,0,0,473
383,0,39,474
384,0,0,475
385,70,47,478
386,70,0,479
387,20,20,480
388,0,0,481
389,46,46,482
390,0,0,483
391,0,25,484
392,44,0,485
393,44,44,486
394,0,0,487
395,0,46,488
396,0,0,489
397,0,9,490
398,0,0,491
399,14,14,492
400,0,0,493
401,15,15,494
402,0,0,495
403,0,48,496
404,48,0,497
405,20,14,498
406,0,0,499
407,24,20,500
408,0,0,501
409,90,90,502
410,0,0,503
411,13,32,504
412,32,0,505
413,0,102,506
414,0,0,507
415,0,205,508
416,0,0,509
417,0,92,510
418,0,0,511
419,62,62,512
420,0,0,513
421,42,42,514
422,0,0,515
423,0,80,516
424,0,0,517
425,56,48,518
426,56,0,519
427,0,52,520
428,0,0,521
429,0,28,522
430,0,0,523
431,19,35,524
432,39,0,525
433,24,15,526
434,21,0,527
435,26,26,528
436,26,0,529
437,52,32,530
438,0,0,531
439,14,48,532
440,14,0,533
441,26,26,534
442,0,0,535
443,17,17,536
444,0,0,537
445,28,28,538
446,0,0,539
447,0,88,540
448,0,0,541
449,0,0,543
450,0,0,545
451,27,27,546
452,0,0,547
453,18,18,548
454,0,0,549
455,18,18,550
456,0,0,551
457,0,14,552
458,0,0,553
459,22,22,554
460,0,0,555
461,22,22,556
462,0,0,557
463,22,16,558
464,0,0,559
465,20,20,560
466,0,0,561
467,0,0,563
468,83,83,564
469,0,0,565
470,95,95,566
471,0,0,567
472,20,20,568
473,0,0,569
474,18,12,570
475,0,0,571
476,76,63,572
477,0,0,573
478,0,48,574
479,0,0,575
480,0,21,576
481,0,0,577
482,31,31,578
483,0,0,579
484,0,11,580
485,0,0,581
486,46,46,582
487,0,0,583
488,0,76,594
489,0,0,595
490,62,58,626
491,0,0,627
492,0,20,628
493,0,0,629
494,48,48,630
495,0,0,631
496,32,15,632
497,0,0,633
498,43,43,634
499,0,0,635
500,36,36,636
501,0,0,637
502,23,17,638
503,0,0,639
504,21,25,640
505,0,0,641
506,21,31,642
507,0,0,643
508,13,17,644
509,13,0,645
510,13,17,646
511,13,0,647
512,0,9,648
513,0,0,649
514,0,9,650
515,0,0,651
516,57,57,652
517,0,0,653
518,0,15,654
519,15,0,655
520,0,176,656
521,0,0,657
522,0,29,658
523,0,0,659
524,0,57,660
525,0,0,661
526,13,17,662
527,13,0,663
528,0,98,664
529,0,0,665
530,0,9,666
531,13,0,667
532,104,40,668
533,104,0,669
534,13,23,670
535,13,0,671
536,0,21,672
537,0,0,673
538,0,15,674
539,0,0,675
540,40,40,676
541,0,0,677
542,0,15,678
543,0,0,679
544,13,13,680
545,0,0,681
546,13,13,682
547,0,0,683
548,0,93,684
549,0,0,685
550,0,90,686
551,0,0,687
552,43,43,688
553,0,0,689
554,0,15,690
555,0,0,691
556,0,70,692
557,0,0,693
558,0,47,694
559,0,0,695
560,0,26,696
561,0,0,697
562,25,25,698
